シャトルJANコード一覧,,,,,,,,,,,,,
※キャピタル用,,,,,,,,,,,,,
963,THOMAS CUP,ST-9 6pcs   3,,,4953582191337,,,,,,,,
964,THOMAS CUP,ST-9 6pcs   4,,,4953582191344,,,,,,,,
965,THOMAS CUP,ST-9 6pcs   5,,,4953582191351,,,,,,,,
982,THOMAS CUP,ST-BK   ｼﾙﾊﾞｰ   2,,,4953582191443,,,,,,,,
983,THOMAS CUP,ST-BK   ｼﾙﾊﾞｰ   3,,,4953582191450,,,,,,,,
984,THOMAS CUP,ST-BK   ｼﾙﾊﾞｰ   4,,,4953582191467,,,,,,,,
985,THOMAS CUP,ST-BK   ｼﾙﾊﾞｰ   5,,,4953582191474,,,,,,,,
,,,,,,,,,,,,,
772,UBER CUP,キュート   2,,4953582191603,,,,,,,,,
773,UBER CUP,キュート   3,,4953582191610,,,,,,,,,
774,UBER CUP,キュート   4,,4953582191627,,,,,,,,,
775,UBER CUP,キュート   5,,4953582191634,,,,,,,,,
,,,,,,,,,,,,,
010,THOMAS CUP,フェザーシャトル3P,TC-010,4953582190002,,,,,,,,,
011,THOMAS CUP,プラシャトル4P,TC-011WH,4953582190019,,,,,,,,,
012,THOMAS CUP,ナイロンシャトル4P,TC-012,4953582190026,,,,,,,,,
018,THOMAS CUP,プラシャトル4P,TC-011MIX,4953582190033,,,,,,,,,
